step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,101,3009.0,11.48473282442748,4.944310517346779,36,1679.0,0.09400968556599174,1,1.0,0.5630862160587746,0,0.0,0.9446263294353661,0,4.0,0.15447822450361398,14,1778.0,0.13743796856723978,1,9.0,0.3407963736552597,0,2.0,0.9210253242126277,5,28.0,0.13197860649919926,7,70.0,0.3415138156869528,6,49.0,0.3794726032828152,15,1833.0,0.19426058539324673,0,4.0,0.8467239909595999,0,0.0,0.9135425828435858,0,4.0,0.9222493363350541,16,1942.0,0.11513289262374513,0,6.0,0.954594488312988,101,7409.0
160.0,99,2496.0,9.278810408921933,4.9839758341774765,36,1859.0,0.09431141409310403,3,14.0,0.5104137806965768,0,0.0,0.938643841861624,0,0.0,0.6693047707457699,14,1845.0,0.19306243925633387,0,8.0,0.37324401208258967,2,8.0,0.35966661104265973,0,25.0,0.6902616378030917,7,107.0,0.4516924722983942,6,79.0,0.32517587225712113,13,1901.0,0.2023574150139716,3,10.0,0.24537862746325229,0,0.0,0.9447114593863499,0,0.0,0.6948814906338106,14,2005.0,0.2359586921841928,1,7.0,0.5983228270690472,99,7868.0
165.0,102,1956.0,7.298507462686567,4.698333857568864,31,1841.0,0.09788349983532428,0,13.0,0.5680739443534267,0,0.0,0.9193681137086561,0,0.0,0.9427924371890303,22,1937.0,0.15490035560236798,0,4.0,0.863506838609843,7,35.0,0.39929812332058867,0,4.0,0.9200891981625846,1,88.0,0.392114458291261,0,62.0,0.4748869052171205,14,1965.0,0.13989410024480212,7,40.0,0.05384294283547263,0,0.0,0.962289889217189,0,0.0,0.7393795194320976,14,2069.0,0.2743311210524673,6,28.0,0.3519122553273934,102,8086.0
170.0,108,1585.0,5.681003584229391,4.954679092394821,24,1626.0,0.15894883279085917,0,4.0,0.8291017206029739,0,0.0,0.949209086575685,0,0.0,0.819515307480472,28,2062.0,0.0567929601624578,0,0.0,0.8923439767526299,2,45.0,0.6359216828693603,0,0.0,0.8981013598350526,3,26.0,0.5278201825638289,1,8.0,0.6951113119693185,20,2052.0,0.07216327988866084,7,77.0,0.3819086920050326,0,0.0,0.22201670976585836,0,0.0,1.0,16,1932.0,0.15599739886975367,7,67.0,0.1747179220454252,108,7899.0
175.0,114,1516.0,5.319298245614035,5.045858257173909,16,1625.0,0.19283971126988572,0,4.0,0.9188755898791908,0,0.0,0.9599740337241225,0,0.0,0.5216411703811286,35,2221.0,0.027285360040929973,0,0.0,0.8991139321402337,2,17.0,0.5585296347045912,0,0.0,0.48413873453064676,0,4.0,0.5486650132591437,0,6.0,0.8186970139584269,28,2179.0,0.04136878558856284,7,110.0,0.5081134973075355,2,9.0,4.4355217683207903e-05,0,4.0,0.4355460636526032,17,1611.0,0.14882018971910416,7,102.0,0.37385621148784154,114,7892.0
180.0,121,1613.0,5.740213523131673,4.7913048776521325,12,1690.0,0.18957712285649808,1,6.0,0.4603043858953454,0,4.0,0.42251784779531315,0,0.0,0.3431726763831866,36,2404.0,0.025473979893302117,0,0.0,0.8287284250298459,7,29.0,0.4269540110621708,0,0.0,0.8873399109056564,1,4.0,0.7064085992592549,2,7.0,0.49170723135597244,34,2336.0,0.12059903212313133,7,143.0,0.4379896240219114,0,4.0,0.8569536517433437,0,4.0,0.9026654016706662,14,1585.0,0.1379104423851771,7,137.0,0.44905309820013606,121,8353.0
185.0,131,2053.0,7.465454545454546,4.490624310159976,13,1752.0,0.15901160037357387,1,9.0,0.40332393268689437,0,4.0,0.9426533688464069,1,1.0,0.11685393073886656,36,2584.0,0.12166263421208579,0,0.0,1.0,7,64.0,0.27770399526555595,0,0.0,0.9288865354547211,1,13.0,0.6585485932476469,7,30.0,0.3169672400461245,36,2516.0,0.18547915829807712,7,178.0,0.29584308291346917,0,4.0,0.9269759979608887,0,4.0,0.8994724563500628,12,1629.0,0.14535423306036163,10,180.0,0.2992861367171422,131,8968.0
190.0,138,2406.0,8.592857142857143,4.408437988110301,15,1637.0,0.16582835353246994,3,11.0,0.5022664661890841,0,4.0,0.9711826955703236,4,16.0,0.25412021239133736,30,2497.0,0.193331329729655,0,2.0,0.7000140289638621,7,99.0,0.0,0,0.0,0.6996446255760058,1,18.0,0.8087174673853063,8,70.0,0.31836217247909787,36,2692.0,0.1267365583511196,7,213.0,0.11996246441415977,0,0.0,0.935555716868881,0,0.0,0.6195915733624682,14,1687.0,0.16691718754599252,13,243.0,0.3438283382701899,138,9189.0
195.0,120,2139.0,7.585106382978723,4.556419155748651,12,1268.0,0.17243595320031435,0,8.0,0.7435372349173756,0,2.0,0.8003220759784319,0,12.0,0.7516366996228226,22,2152.0,0.1440002285373653,0,4.0,0.8853954355970549,7,134.0,0.11776782146911959,0,4.0,0.41038650732648924,1,23.0,0.8032459612756951,8,110.0,0.2626961046661325,33,2598.0,0.023050277206570578,2,172.0,0.23653320744867906,0,4.0,0.7657468246942092,0,0.0,0.9657252471768021,21,1778.0,0.16511504088382828,14,312.0,0.2522873690913591,120,8581.0
200.0,110,1861.0,6.484320557491289,5.032004825637658,11,1323.0,0.19365043022463588,0,2.0,0.87848418587114,2,9.0,0.6577708050917832,0,0.0,0.9078693826293133,17,2129.0,0.12403391623715687,0,4.0,0.8647445284420148,1,107.0,0.2461183661836653,0,6.0,0.7994543501263195,3,31.0,0.4062508924556549,8,150.0,0.32202321581374965,26,2258.0,0.0960847027730787,1,46.0,0.8132262437377704,0,4.0,0.9135906562715869,0,0.0,0.9516919524398242,27,1901.0,0.10673895752000913,14,382.0,0.0651212478617213,110,8352.0
